channel_id,channel_name,description,published_at,country,view_count,subscriber_count,video_count,load_ts
UC1qeZQNf2ERZBae7pHx0QVA,Asif just fun magic,Hey Guys! I'm Asif and This is my Channel where i do those -,2025-11-14 11:02:46.989717,PK,11182672,2670,51,2025-12-27 07:24:13.797497
UC1RCIknN_teZZ-HbervTO9w,Fish anime,"",2025-06-03 05:35:21.386427,US,125679961,128000,251,2025-12-27 07:24:13.797507
UC0_ePdaqSISklw3-k1n9w5w,MOVIE MASTERMIND,"                   🙏welcome to my channel....🙏


This Channel Videos only entertainment purpose! Dear Real video owner please don't copyright strike

👉
REAL VIDEO CREDIT✨Superman Can not Fly)

(敖酠( Family Fun Tv)( Bidik Fun Tv) (Ding dong)( Comedy FUN Tv) (BoM Tv) (ROMA FUN Tv) (Our Fun Tv)( Busy Fun Ltd)(my family)(fun tv 24)(maha fun tv) (mr fun tv)~上帝之手,joker-1439,好人小丑,兔子警官,敖闰,超人不会飞,快乐一家人,路飞与唐舞桐

🎙️voice credit^} ai🎵
 📷video📽️editing creator adarsh patel🎥
⏰ total editing time 1:2 hour

Under section 107 of the copyright Act 1976. Allowance is made for ""fair use"" for purpose such as criticism, comment, news reporting teaching, scholarship, education and research

                               √Description√

",2024-07-22 05:28:59.076668,IN,1560380594,1800000,423,2025-12-27 07:24:13.797516
UC1T4vaNlOuHfUhLF-iUy15g,Deblo Lydiaf,Join us and experience the endless charm of movies!,2025-05-22 02:42:06.651054,US,8664188,5180,21,2025-12-27 07:24:13.797525
UC15UB3x64Mi0oov4DeaWbOQ,kitsch & SASH,"Feel-Good vibes for wherever life takes you. ☀️

Hey, we’re kitsch & SASH. Two DJs on the road, collecting moments and shaping them into smooth electronic mixes. Join us wherever the journey goes next.

New videos from another beautiful location every month. Next drop: 25th of December, 2pm CET

Join the tribe, feel the vibe, and let's celebrate life together. 🧡
",2024-06-11 12:08:16.533518,DE,3955454,44800,56,2025-12-27 07:24:13.797534
UC19Q1__oNNopnnvxJm5cS3A,N K,"    ♥️♥️ Welcome to music world. ♥️♥️
          ""Here you'll find every genre of music - whether it's relaxing tracks, party anthems, or old classics.""
  ♥️♥️ Subscribe for new songs and updates!♥️♥️",2018-06-11 13:40:16,IN,45344,110,91,2025-12-27 07:24:13.797566
UC02CGZsIXyXS9FAVUmVk37g,Исаги,"😉Подписывайся на канал и наслаждайся аниме моментами!
✅Название, серию и озвучку ты сможешь найти в описании под каждым видео или в закреплённом комментарии.
",2024-06-07 14:46:09.00092,RU,64641903,30500,350,2025-12-27 07:24:13.797576
UC1Uf3lDOhpbK8H2YVgTC-tw,HappyHourParty,LTEC@TZUMCX,2020-07-25 09:45:54.587265,US,14285820,53800,40,2025-12-27 07:24:13.797584
UC0zk2hShMbNRNlxYuiLwByA,TàiLord,"Hi Guys✋
Content Creator Roblox 
Gmt+7
Contact me for discord",2022-11-04 04:11:05.846484,,46708426,76400,167,2025-12-27 07:24:13.797594
UC0JCCv746e166dpajWNjK0Q,Lool Looo,"",2025-10-24 13:46:09.841896,,21698,21,18,2025-12-27 07:24:13.797603
UC0ubfI8khy85unnALkn60qA,MS.Rajput.sanchore,"नमस्कार मेरे प्यार दोस्तों आपका स्वागत है अपने यूट्यूब चैनल पर |
राम राम दोस्तों यह चैनल Royal Rajputana. 7773 आपका अपना ही है आपको रोजाना  वीडियो मिलेगी अगर आपको पसंद आए तो लाइक शेयर और कमेंट जरुर करें और सब्सक्राइब भी जरूर करें🙏",2019-05-30 06:03:39,IN,41704865,36200,852,2025-12-27 07:24:13.797618
UC0zm4TEbOw2WTeRrw47vMPw,O Melhor de Tudo,Aqui você encontra os melhores truques e hacks para o dia a dia ,2025-01-14 16:06:56.757133,BR,318544394,601000,371,2025-12-27 07:24:13.797627
UC1wSO49EySYpDIcLztcl7Ww,Debo Edits 002,A Channel Where You Find Different Trending Edits 🖤,2025-10-14 00:23:08.461809,,251686,854,104,2025-12-27 07:24:13.797636
UC0CDZm5ZgKDFkF_M2ltlWng,MindXO,"🧠 Quick quizzes | Fast IQ ⚡
🎯 Play • Think • Win 🏆
🤯 Daily brain shots ⚡
🧩 Short quiz, sharp mind 💡
⚡ Test your brain daily 🧠
🎮 Quiz mode ON 🔥
🧠 Mind games | IQ boost 🚀 

      -----------⚡𝕄𝕚𝕟𝕕𝕏𝕠🧠---+-------",2025-12-26 04:16:51.006845,IN,20548,247,3,2025-12-27 07:24:13.797644
UC0_JruLu0nzH7wGN5luk4Zg,bundeli superstar betu tor,"",2025-08-17 02:38:51.922665,,27590,123,68,2025-12-27 07:24:13.797653
UC0KXsQALUBnx7LiM996VbOw,Zack Chug,"SUPERHERO FRAMEWORK:  NUTRITION, MUSCLE GAIN, FAT LOSS & MINDSET E-BOOK BELOW 👇 

Join me on a journey to transform you into your own SUPERHERO , physically and mentally , to become the best version of yourself and show the world what you’re made of 🦸‍♂️
",2021-04-20 20:44:26.79185,,208367203,561000,661,2025-12-27 07:24:13.797664
UC1XVxFQ4OGQcQhSmVyzinbA,DankitPro,Subscribe and turn on notification to enjoy weekly videos.  Have fun.  Laughter is treatment to broken hearts and boring moods.  I ensure you have it in plenty 😂😂😂,2014-11-29 14:14:49,KE,213381616,56600,329,2025-12-27 07:24:13.797691
UC0Xx4uYxO5z0P3sh4myrtiQ,Shiv_Ansh Thakur,Life is too short......😊😊sooo Enjoy every moment of your lyf😊😊.....👍🏻👍🏻🙏🏻🙏🏻,2022-10-12 06:00:16.612677,IN,50617,64,120,2025-12-27 07:24:13.797705
UC1CVt1zM19pgBTZuOYGOs5A,The Punjab News,"This is a Quality You Tube Channel
We will provide Breaking news ,Today News, daily news

ਇਸ ਚੈਨਲ ਤੇ ਤੁਹਾਨੂੰ ਸਰਕਾਰੀ ਸਕੀਮਾਂ, ਨੌਕਰੀਆਂ ਦੀਆ ਖਬਰਾਂ, ਹਰ ਰੋਜ ਦੀਆਂ ਤਾਜ਼ਾ ਖਬਰਾਂ ਮਿਲਦੀਆਂ ਹਨ 
ਧੰਨਵਾਦ 
",2019-02-20 04:31:54,IN,108883872,559000,3206,2025-12-27 07:24:13.797721
UC1ggpV6_CuZ-chQCenNL_Gg,Deepen,"Deepen.AI  The Next Evolution

AI is breaking everything we thought we knew.
This channel explores the rise of intelligent systems, robotics, and emerging technologies that are reshaping how the world works.

Each video includes original analysis, editorial context, and narrative explanation added to the footage shown,  focusing on what is happening, how it works, and why it matters.

We document the future day by day: real AI developments, robotics breakthroughs, unexpected failures, and tools that feel like science fiction, explained with clarity and intent.

Subscribe if you want to understand where technology is actually heading.

⬇️ Grab your FREE 100+ AI Prompt Anatomy pack designed to brainstorm, create, and scale ideas faster.
https://deepenai.beehiiv.com/
",2025-03-17 06:30:50.610203,GB,80223788,42300,173,2025-12-27 07:24:13.79773
UC0_gmt16V38_wcbz5znaJYw,Anime Tamil Voice Official,"",2025-08-10 01:28:34.422107,,6126456,62200,548,2025-12-27 07:24:13.797739
UC0z446VntFL67y-GcC0kWWQ,ӅɆƁ🦁2264,https://www.youtube.com/@Lev.03 ﷽╟☪♠ӅɆƁ♠☪╢﷽,2018-09-02 12:36:05,,208159591,286000,553,2025-12-27 07:24:13.797751
UC0PPtkKtB47CO_YWlf7l1cA,Amineyt,"Hello Friends 🔥
Welcome To My Channel ",2025-07-24 04:38:20.665124,IN,15414,11,73,2025-12-27 07:24:13.79776
UC1LhehcK1DosffYIZkQeiRg,CrimeTubeGlobal,"Real Videos. No AI or Scripted Content. Real Crimes, Real Arrests, Bodycams, Interrogations. CrimeTubeGlobal delivers unfiltered, boots-on-the-ground criminal justice content. Our platform showcases authentic field encounters, high-risk arrest operations, and raw investigative footage sourced from real-world law-enforcement scenarios.",2025-11-20 20:13:37.215716,,155663080,52400,44,2025-12-27 07:24:13.797775
UC13kIa4SG1PBgQKzMWRrDcA,Rbrain Project,Selamat datang di Rbrain Project ,2019-08-23 09:03:49,ID,8512353140,2030000,1777,2025-12-27 07:24:13.79779
UC1HuzI97H8M5bI3Wl6wKdvA,Vatican News - Tiếng Việt,"Kính chào quý vị đến với kênh chính thức Vatican News - Tiếng Việt, cơ quan truyền thông thuộc Bộ Truyền Thông Toà Thánh.
Website: https://www.vaticannews.va/vi.html
Liên lạc: tiengviet@vaticannews.va

Những hình ảnh được đăng trên kênh này là sản phẩm của Bộ Truyền Thông hoặc thuộc quyền sở hữu của Bộ này.
Do đó, mọi hình thức sử dụng những hình ảnh này bởi bên thứ ba đều bị nghiêm cấm, trừ khi được cấp phép rõ ràng bằng văn bản.
",2015-11-23 14:38:09,VA,74590632,252000,7273,2025-12-27 07:24:13.797802
UC1T8FuEZN0SS21U1ujJpx6Q,Arpi Geng,"",2025-11-07 10:02:52.274711,US,5546245,8820,31,2025-12-27 07:24:13.797816
UC04i9qClprryy8cZvHqHD1A,BlockChaos,"Roblox prison chaos.
Funny moments, fails, and insane situations.
BlockChaos.🫠",2025-12-20 18:46:40.410092,US,24708,38,14,2025-12-27 07:24:13.79786
UC0idqvz0X6K5lhPi2Ub9Nvg,TUSHAR VAISHNAV 18,"JAY SHREE RAM 
HELLO FRIENDS 
MY NAME IS TUSHAR
 I will keep showing you cricket shots, vlogs and cricket training videos",2025-12-01 10:57:22.22161,IN,31159,46,30,2025-12-27 07:24:13.797902
UC02xcofOVjA3TVO9hr_fAJw,Bardhaman News TV,"আমারা সঠিক খবর যাচাই করার পর পোস্ট করে থাকি। 



FOR BUSINESS PURPOSE:





_______________Bardhaman News TV______________",2024-03-04 16:57:24.431763,IN,21544837,132000,644,2025-12-27 07:24:13.797917
UC0w-wbOGBV9yvdFaw5hZxVA,Sounds MMA,Breaking down Boxing and MMA fights and explaining it in the simple ways!,2023-05-10 07:39:31.111399,US,317379172,299000,699,2025-12-27 07:24:13.797939
UC105kPM7BL-qWAzzm13E4bw,G-MEDIA,"Музыкальный лейбл 
Digital Дистрибьютор
По вопросам сотрудничества +7777 171 5312
gmedia.almaty@yandex.ru",2017-06-22 15:22:42,KZ,555831,933,45,2025-12-27 07:24:13.797954
UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,"Subscribe For New Videos Every Day ⚽️⤵️

Hi, my name is Celine & I love football! Welcome to my channel where you'll see all kind of challenges! Enjoy 🥳",2023-05-03 20:46:34.789205,BE,48591832466,53200000,1918,2025-12-27 07:24:13.797967
UC0KYcMjlFq08UjK2cWkB9Cg,야쏭,"야구 응원가를 즐기기 가장 좋은 채널 야쏭입니다



📧 비즈니스 문의 : baseballssong@gmail.com
instagram : @y4ssng
",2019-03-26 13:50:12,,58246084,42100,890,2025-12-27 07:24:13.797981
UC0g7R-oqBXYZDIE8yPgT6rA,Bangladesh Pratidin,"This channel is the official audio-visual platform of the Daily Bangladesh Pratidin, highest circulated Newspaper in Bangladesh . Here you can find news update, investigative reports, analysis and interviews.
",2022-10-05 06:19:30.077482,BD,513635976,1170000,19977,2025-12-27 07:24:13.797992
UC0Mza-A-eNVwHtjTg8jW2AQ,GoBeast Uttam,"Hello Guys, We create and upload  videos to entertain the world 🌍 

Please make sure to SUBSCRIBE our channel to make your world more exciting and joyful.

Follow our Facebook Page - 
https://www.facebook.com/uttam.karmakar.376?mibextid=ZbWKwL

Instagram - https://www.instagram.com/goprouttam?igsh=eTBsZncydnZ6MWFt

Twitter- twitter.com/@UTTAM6103",2016-04-02 19:01:19,,118292876,30600,196,2025-12-27 07:24:13.798004
UC13v9p81FlbC_A9lln6YnJg,MrRegere,"",2010-03-01 19:10:27,RU,63711446,47400,6096,2025-12-27 07:24:13.798015
UC0dFM1iWAh8QqArhtIdSCcA,HamaSamaKun,"For business inquiries email:
contact.hamasamakun@gmail.com
",2014-07-18 00:25:11,US,362721810,274000,2497,2025-12-27 07:24:13.798027
UC0N52uc_WDpqI5-0y4X03Yw,HistorAis," a channel where you can relax, watch, learn everything and anything. 

All content published on this channel is original and created by me.
For questions, copyright concerns, or business inquiries, contact: aisensagynbaev@gmail.com",2025-12-25 11:15:20.056325,US,6664,5,4,2025-12-27 07:24:13.798039
UC-3sjgPrG5wk_Ej-jfwGwIQ,TimeSBD News,"TimeSBD News: This channel is made by timebd news,timebd news,bangla news today,news today,bangla news,bangla news live,latest bangla news,jamunatv,ajker bangla khobor,ajker khobor,bangla news update,bangladesh news,khobor,bangla khobor,updated news,bd news,bdnews,ajker news,ajker khabar,ajker bangla news,আজকের খবর,এইমাত্র পাওয়া খবর,taja bangla news,bbc news,বিবিসি বাংলা খবর,bbc bangla news,এইমাত্র পাওয়া,আন্তর্জাতিক সংবাদ,antorjatik khobor,আন্তর্জাতিক খবর,bangladesh

Please Subscribe my channel for all bangla news video.

thanks for subscribe my channel.
",2024-09-01 06:07:18.435654,US,76960349,274000,741,2025-12-27 07:24:15.925025
UC3-MllDQHkfppuFhJ7Kniag,Look Art Saloon,"Welcome to Look Art Saloon – your ultimate destination for all things beauty and style! Whether you're looking to refresh your look or dive into the latest trends, our channel brings you expert tips, tutorials, and behind-the-scenes footage from our vibrant salon. From hair transformations to skincare secrets, we’re here to help you feel your best inside and out. Subscribe and join the Look Art Saloon family, where beauty meets creativity!  For promotion ( 8528160680 )",2019-01-07 09:16:56,,337149897,143000,208,2025-12-27 07:24:15.925055
UC3cuL-fHGaqqGsWCsP_z2ZA,Yadhy Movie,"The video content included in my videos serves the sole purpose of conveying a message and a voiceover to the audience. To the best of my understanding, its use falls under fair use guidelines, specifically within the realms of reviews and commentary. I have no intention to infringe upon anyone's rights.

For inquiries, removal requests or business, contact me at wenwenge82@gmail.com.me

When I include scenes from movies in my videos, it helps the original creator by introducing their work to new audiences. Viewers often want to watch the whole movie, which benefits the creator.


Under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research.
",2025-09-03 05:51:24.581517,US,3130302,1790,4,2025-12-27 07:24:15.925063
UC2SfDJ9EeB7l4Kd4zBLoWxw,EMAI STUDIO,"Your Perfect Edml Soundtrack 🎧
👉Hit play. Let the music flow.
▶️ Please Subscribe: /@relaxedmvibes1
🔔 Turn on notifications
❤️ Like • 💬 Comment • 🔁 Share


🌿 Perfect for moments like:

☕ Sipping coffee
🧠 Deep focus & productivity
🚗 Driving to work
🌙 Winding down before sleep
📚 Studying
✨ Or simply breathing in the moment

These tracks are crafted to elevate your mood and keep your mind calm and relaxed.


---

⚠️ Disclaimer

🎵 Music generated with Suno AI
✍️ Concept, track selection & arrangement by Relaxed M Vibes
🚫 This audio is not enrolled in YouTube Content ID
📌 Used in accordance with the applicable license


---

🎧 Playlists curated for your soul

#EDM #ChillEDM #RelaxEDM #LoFiEDM #FutureBass #Chillout
#ElectroPop #DeepHouse #TropicalHouse #EDMPlaylist #ElectronicMusic",2025-05-09 03:45:16.756853,ID,3811,33,22,2025-12-27 07:24:15.92507
UC3YmtHQmTUSuLiheV__t5gA,Anime shorts,"Anime edits /shorts 

so close to 15k ",2022-04-23 08:49:17.60401,,10079069,18400,775,2025-12-27 07:24:15.925078
UC3BKtnVmGEKOhJyH-Plre9Q,Ylilyönti Studio,"Ylilyönti-Podcastin äänitorvien Jaakko Dahlbackan ja Jani Mesikämmenen videokanava. Kaikkea kivaa kamppailun maailmasta. Tervetuloa!

Haluatko tarjota Ylilyönnin työukoille kahvia? 
https://buymeacoffee.com/ylilyontistudio
",2019-01-27 14:57:20,FI,4686421,12000,601,2025-12-27 07:24:15.925085
UC3jdR_gybsGfVTDrtQz7izQ,RadioandMusic,"Radioandmusic is India's first and only online news portal that reaches out to every realm of radio and music industry.  From intriguing interviews and fun segments with top-notch musicians, RJs, global DJs and the unheard gems of Indian Folk, to some insightful chats with innovators and business heads, Radioandmusic's YouTube channel has videos, collated for global music and radio fans. Our subscriber family is growing with every musical beat and note and we aim to provide our viewers with exceptional visual entertainment. 

Come be a part of Radioandmusic clan to experience the best from the industry and for an interesting musical experience.",2009-03-10 11:01:20,,170820048,239000,854,2025-12-27 07:24:15.925092
UC2s8eMk1QNhLDRq2y25GSWw,Meihui An,"new video is OUT🫶
Welcome to my channel 🤍
I create YouTube Shorts and long-form videos featuring celebrity moments, classical piano performances, piano covers, vlogs, travel vlogs, and honest life & college advice.

Here you’ll find:

🎹 Classical piano & pop music piano covers
⭐ Celebrity Shorts & trending pop culture
🎥 Lifestyle, daily, and aesthetic vlogs
✈️ Travel vlogs & city life
💭 Real, relatable advice

🚀 WHY SUBSCRIBE
Subscribe for:
Subscribe for trending content, music, and stories you’ll want to come back to ✨
New videos and Shorts uploaded regularly — turn on notifications so you don’t miss out ✨

I DO NOT POST AI CONTENT
",2017-08-01 01:22:43,US,1314840,554,23,2025-12-27 07:24:15.925099
UC2hoZf8JBdv7I5auvKxD9hg,AniDal,"Hey! I create fast-paced, high-quality anime shorts that combine the best moments, cuts—epic fights, emotional scenes, iconic lines, hilarious moments, and everything in between.

If you love anime subscribe and join me on this journey! ❤️
",2022-12-31 13:01:42.385472,,7021582,46800,21,2025-12-27 07:24:15.925105
UC3fAa8dxyd4h32u7P7u9duw,Cutie Stitch Shorts,"Welcome to Cutie Stitch Shorts 💜  
We create adorable and funny Stitch-inspired mini animations!  
Fun, cute, chaotic – all in 5–8 second episodes.  
New shorts every day!  
Subscribe for more cute alien moments and positive vibes 💫",2025-11-16 12:04:09.886892,US,49681,48,70,2025-12-27 07:24:15.925285
UC3tTlzPhmDXKa9od6itzkRg,Kusum Home Kitchen,"",2021-02-16 02:47:27.428414,,37509849,35100,691,2025-12-27 07:24:15.925292
UC42M4HAGNrAXlrEFt34YbbA,神父与修女,"欢迎来到我的频道，在这里我们分享神父和修女的故事。
我们的目标是通过分享他的教诲来激励他人，并提醒我们他无条件的爱的力量。
我们努力传播积极向上的精神成长。
请注意，我们尊重所有的信仰，无意批评或冒犯任何人。
如果你不喜欢这里，我们希望你能理解，因为我们的目标是尊重他的信息。
我们的通道只寻求引导他人走向善良和信仰。
所有内容均受版权保护。任何未经授权的使用将导致法律诉讼。感谢您的支持！每个人都必须是一个有爱心的人。谢谢你关注我的频道。
",2025-04-24 19:25:11.783253,HK,4914215497,4100000,1533,2025-12-27 07:24:15.925113
UC3fKYqRqWubAZgwnJA0APjQ,Anime Quick,"Subscribe For More Anime Content :) Hello Welcome to my Anime World 🌎 I'm New of this YouTube ▶️ I will be making some Anime Clips Edit 👌 ""If I making a mistake, please forgive me""🙏 Don't Forget to Like and Subscribe to my Channel 👍 I will try my best to upload some video Thank you ✌",2025-01-11 13:18:23.881718,PK,1833011699,1170000,464,2025-12-27 07:24:15.925119
UC3eqnhSyahUyFvjeIAClgCQ,Candy Anime,"PLAYIST@HL0EYH
Cooperation: aq1668aq@gmail.com
",2024-09-23 11:03:49.684088,,5532503,4120,595,2025-12-27 07:24:15.925126
UC2jn3ZWtA770T-KAGnXbkvA,Shadow Gaming zone,"",2025-12-22 10:35:34.379969,,1562,12,4,2025-12-27 07:24:15.925132
UC2yrTQrgzB-SX1Gbz9za1uQ,มุมเพลง,"ช่องนี้สร้างวิดีโอ AI สมจริงแนวภาพยนตร์ สารคดี และคลิปสั้น (Shorts)
เนื้อหาเกี่ยวกับสงคราม การทหาร เทคโนโลยี และฉากสมจริงระดับภาพยนตร์

This channel creates AI-generated videos, cinematic visuals, short-form content (YouTube Shorts),
realistic war simulations, military-themed visuals, and documentary-style storytelling.
Focused on realism, cinematic atmosphere, and immersive visuals.

ใต้ธงไตรรงค์ศักดิ์ศรี เหนือผืนปฐพีคือหน้าที่ ทหารไทย...หัวใจนักรบ
ไม่ใช่แค่เครื่องแบบ แต่คือชีวิตจิตวิญญาณ ที่ยืนหยัดปกป้องผืนแผ่นดินไทย
ทุกหยาดเหงื่อคือคำสัญญา ทหารไทย...ผู้ไม่เคยทิ้งชาติ
",2020-10-29 03:37:58.164515,TH,189516577,119000,417,2025-12-27 07:24:15.925139
UC2ZpjofkGy1-nHZ6QbPbvew,DJ LEV,"DJ LEV 🔥 CLUB MUSIC 🫶

A Popular DJ & Sound Producer In The CIS 🤩

Club House | Tech House | G-House
Electro House | Bigroom House | Pop Dance",2016-08-17 08:40:13,,99301495,62200,574,2025-12-27 07:24:15.925146
UC_226ocwA3qmdpY2umXy9bA,コスメヲタちゃんねるサラ,"コスメヲタです。
よろしくおねがいします！

ポーチのリンクはこちら！↓
コスメヲタちゃんねるサラが本気で作った! 進化版持ち運べるドレッサーポーチBOOK 
https://amzn.asia/d/bNZLkAj

【VAZ所属】

サラ
twitter @saraparin
Instagram @sara_parin 
TikTok @saraparin

ダイスケ(夫)
★twitter 
https://twitter.com/daisuke_coswota
★Instagram 
https://instagram.com/daisuke_coswota


↓ファンレター、プレゼントの宛先
株式会社VAZ
〒104-0061
東京都中央区銀座4丁目2番15号
塚本素山ビル2階
コスメヲタちゃんねる サラ宛
",2015-05-02 21:00:27,JP,2209616677,1490000,2121,2025-12-27 07:24:15.925154
UC2Hu7f12PZZDXc9drmcn9RA,public like-1,"🌍🔥 Welcome to our channel where we bring you the latest **News from Bangladesh**! In today’s episode, we dive deep into the recent events shaping our vibrant nation—from political developments to cultural celebrations. 🗞️💬 Whether it’s the latest government initiatives or heartwarming human stories, we cover it all! Join us as we unpack the facts, share expert insights, and hear voices from across the country. 🗣️❤️ Don't forget to hit that subscribe button and turn on notifications so you never miss out on the hub of urgent and uplifting **Bangladesh news**! 📅💥 Your go-to source for everything happening in Bangladesh!",2025-08-31 12:24:39.16904,BD,9877781,9610,514,2025-12-27 07:24:15.925161
UC3MwMZzsHNs9Pvxe3s0PPbw,Roo Paul,"Welcome to my little world.🌻 Here to romanticise my life with every little things I do🎀. If you are reading this, don't forget to press the ""subscribe"" button♥️.

For work contact  - workspaceofroo@gmail.com
",2024-01-16 14:12:22.853358,IN,399345451,372000,551,2025-12-27 07:24:15.925167
UC2BADTx0iCmIuD7s8WNOnCw,Real Abdul Shorts,"Assalamualaikum Dosto Mera Naam Hai Abdul Rahman Or Apka Mere Channel per Swagat Hai apko Me Acche Or Education short Provide karunga So Stay Connected 

Thanks 👍 

All Videos Are Entertainment Or Educational Purpose Only 

Business Promotion Contact Email homefarhans700@gmail.com",2024-05-18 12:40:32.099372,,92201578,62500,309,2025-12-27 07:24:15.925174
